round_num,node_0,node_1,node_2,node_3,node_4
1,3.269900321960449,3.370511531829834,3.349330186843872,3.4255528450012207,3.43756365776062
2,3.451462507247925,3.3718388080596924,3.3109521865844727,3.3657140731811523,3.3676843643188477
3,3.367530107498169,3.383084297180176,3.367704153060913,3.354621171951294,3.330660581588745
4,3.356074094772339,3.3511669635772705,3.3325202465057373,3.376718044281006,3.37904953956604
5,3.3305654525756836,3.3586997985839844,3.341887950897217,3.3936848640441895,3.4087986946105957
6,3.34983491897583,3.441368341445923,3.3520424365997314,3.396850109100342,3.408684730529785
7,3.4065067768096924,3.4285333156585693,3.368520498275757,3.4236040115356445,3.427172899246216
8,3.434450387954712,3.38887619972229,3.4519808292388916,3.443758010864258,3.4274144172668457
9,3.4449968338012695,3.4022772312164307,3.453411340713501,3.4717228412628174,3.457275152206421
10,3.458770513534546,3.4760167598724365,3.4731104373931885,3.4308390617370605,3.458989381790161
