round_num,node_0,node_1,node_2,node_3,node_4
1,3.4374032020568848,3.432353973388672,3.4187088012695312,3.3074820041656494,3.3074820041656494
2,3.3736155033111572,3.4023115634918213,3.325684070587158,3.308617353439331,3.4322309494018555
3,3.4019100666046143,3.348750591278076,3.3202335834503174,3.4336583614349365,3.4114885330200195
4,3.418823480606079,3.3972556591033936,3.334115743637085,3.401333808898926,3.3636059761047363
5,3.394989252090454,3.3872902393341064,3.348201274871826,3.4424867630004883,3.356741428375244
6,3.410945177078247,3.4219858646392822,3.366917371749878,3.433439016342163,3.3582708835601807
7,3.407686471939087,3.4513349533081055,3.3802192211151123,3.4156126976013184,3.366147041320801
8,3.4161150455474854,3.3991291522979736,3.430445909500122,3.4573006629943848,3.371915578842163
9,3.4112160205841064,3.44460391998291,3.408308267593384,3.404350996017456,3.434537887573242
10,3.4569971561431885,3.40901780128479,3.425060987472534,3.4039175510406494,3.4592251777648926
