node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,32,GDPR,8,256,tier1_hospital,0.975,standard,50000
1,clinic_001,5000,tier_2,16,local,8,128,tier2_hospital,0.96,high,20000
2,research_center_002,10000,tier_3,64,PIPEDA,16,256,research_center,0.989,high,50000
3,mobile_unit_003,500,tier_1,4,PIPEDA,2,64,mobile_unit,0.815,standard,5000
4,edge_device_004,500,tier_2,2,HIPAA,1,16,edge_device,0.882,high,2000
5,hospital_005,2000,tier_1,64,PIPEDA,4,256,tier1_hospital,0.989,standard,20000
6,clinic_006,1000,tier_2,32,GDPR,4,256,tier2_hospital,0.93,high,5000
7,research_center_007,5000,tier_3,256,local,8,1024,research_center,0.984,standard,50000
8,mobile_unit_008,100,tier_1,16,PIPEDA,1,16,mobile_unit,0.797,high,1000
9,edge_device_009,500,tier_2,8,GDPR,0,16,edge_device,0.718,critical,2000
10,hospital_010,10000,tier_1,64,GDPR,4,256,tier1_hospital,0.991,standard,50000
11,clinic_011,2000,tier_2,32,GDPR,4,64,tier2_hospital,0.962,critical,5000
12,research_center_012,5000,tier_3,128,HIPAA,32,1024,research_center,0.993,standard,50000
13,mobile_unit_013,500,tier_1,4,HIPAA,2,64,mobile_unit,0.779,standard,2000
14,edge_device_014,500,tier_2,2,local,1,8,edge_device,0.755,high,1000
