timestamp,round_num,source_node,target_node,transfer_type,param_summary,strategy_name
1753356052.3248336,1,0,4,parameter_transfer,"{'norm': 5.938053607940674, 'mean': 0.030008725821971893, 'std': 0.348613977432251}",
1753356052.3248336,1,0,1,parameter_transfer,"{'norm': 5.938053607940674, 'mean': 0.030008725821971893, 'std': 0.348613977432251}",
1753356052.3249066,1,1,0,parameter_transfer,"{'norm': 5.504613876342773, 'mean': -0.002083932049572468, 'std': 0.3243557810783386}",
1753356052.3249066,1,1,2,parameter_transfer,"{'norm': 5.504613876342773, 'mean': -0.002083932049572468, 'std': 0.3243557810783386}",
1753356052.324952,1,2,1,parameter_transfer,"{'norm': 3.203585147857666, 'mean': -0.015965308994054794, 'std': 0.18809673190116882}",
1753356052.324952,1,2,3,parameter_transfer,"{'norm': 3.203585147857666, 'mean': -0.015965308994054794, 'std': 0.18809673190116882}",
1753356052.3249843,1,3,2,parameter_transfer,"{'norm': 5.2744669914245605, 'mean': 0.01141470018774271, 'std': 0.3105912506580353}",
1753356052.3249843,1,3,4,parameter_transfer,"{'norm': 5.2744669914245605, 'mean': 0.01141470018774271, 'std': 0.3105912506580353}",
1753356052.3250134,1,4,3,parameter_transfer,"{'norm': 5.080862045288086, 'mean': 0.010034323669970036, 'std': 0.29922446608543396}",
1753356052.3250134,1,4,0,parameter_transfer,"{'norm': 5.080862045288086, 'mean': 0.010034323669970036, 'std': 0.29922446608543396}",
1753356052.3250504,1,4,0,aggregation,,GossipAvg
1753356052.3250504,1,1,0,aggregation,,GossipAvg
1753356052.3251295,1,0,1,aggregation,,GossipAvg
1753356052.3251295,1,2,1,aggregation,,GossipAvg
1753356052.325155,1,1,2,aggregation,,GossipAvg
1753356052.325155,1,3,2,aggregation,,GossipAvg
1753356052.3251686,1,2,3,aggregation,,GossipAvg
1753356052.3251686,1,4,3,aggregation,,GossipAvg
1753356052.3252327,1,3,4,aggregation,,GossipAvg
1753356052.3252327,1,0,4,aggregation,,GossipAvg
1753356062.0536463,2,0,4,parameter_transfer,"{'norm': 6.7509965896606445, 'mean': 0.016072414815425873, 'std': 0.3974814713001251}",
1753356062.0536463,2,0,1,parameter_transfer,"{'norm': 6.7509965896606445, 'mean': 0.016072414815425873, 'std': 0.3974814713001251}",
1753356062.053713,2,1,0,parameter_transfer,"{'norm': 5.948573112487793, 'mean': -0.014816082082688808, 'std': 0.3502097427845001}",
1753356062.053713,2,1,2,parameter_transfer,"{'norm': 5.948573112487793, 'mean': -0.014816082082688808, 'std': 0.3502097427845001}",
1753356062.0537462,2,2,1,parameter_transfer,"{'norm': 5.205239295959473, 'mean': -0.009804757311940193, 'std': 0.30656492710113525}",
1753356062.0537462,2,2,3,parameter_transfer,"{'norm': 5.205239295959473, 'mean': -0.009804757311940193, 'std': 0.30656492710113525}",
1753356062.0537872,2,3,2,parameter_transfer,"{'norm': 4.709783554077148, 'mean': 0.008498681709170341, 'std': 0.2773965001106262}",
1753356062.0537872,2,3,4,parameter_transfer,"{'norm': 4.709783554077148, 'mean': 0.008498681709170341, 'std': 0.2773965001106262}",
1753356062.0538158,2,4,3,parameter_transfer,"{'norm': 5.902285575866699, 'mean': -0.015907440334558487, 'std': 0.3474315404891968}",
1753356062.0538158,2,4,0,parameter_transfer,"{'norm': 5.902285575866699, 'mean': -0.015907440334558487, 'std': 0.3474315404891968}",
1753356062.0538466,2,4,0,aggregation,,GossipAvg
1753356062.0538466,2,1,0,aggregation,,GossipAvg
1753356062.0538647,2,0,1,aggregation,,GossipAvg
1753356062.0538647,2,2,1,aggregation,,GossipAvg
1753356062.0538797,2,1,2,aggregation,,GossipAvg
1753356062.0538797,2,3,2,aggregation,,GossipAvg
1753356062.0538933,2,2,3,aggregation,,GossipAvg
1753356062.0538933,2,4,3,aggregation,,GossipAvg
1753356062.0539038,2,3,4,aggregation,,GossipAvg
1753356062.0539038,2,0,4,aggregation,,GossipAvg
1753356069.2088752,3,0,4,parameter_transfer,"{'norm': 7.514957427978516, 'mean': -0.0053250971250236034, 'std': 0.4427911043167114}",
1753356069.2088752,3,0,1,parameter_transfer,"{'norm': 7.514957427978516, 'mean': -0.0053250971250236034, 'std': 0.4427911043167114}",
1753356069.2089338,3,1,0,parameter_transfer,"{'norm': 5.609216690063477, 'mean': -0.007894234731793404, 'std': 0.3304319679737091}",
1753356069.2089338,3,1,2,parameter_transfer,"{'norm': 5.609216690063477, 'mean': -0.007894234731793404, 'std': 0.3304319679737091}",
1753356069.208965,3,2,1,parameter_transfer,"{'norm': 5.868121147155762, 'mean': -0.019331566989421844, 'std': 0.345241516828537}",
1753356069.208965,3,2,3,parameter_transfer,"{'norm': 5.868121147155762, 'mean': -0.019331566989421844, 'std': 0.345241516828537}",
1753356069.2089953,3,3,2,parameter_transfer,"{'norm': 6.334427833557129, 'mean': -0.0196839552372694, 'std': 0.37274032831192017}",
1753356069.2089953,3,3,4,parameter_transfer,"{'norm': 6.334427833557129, 'mean': -0.0196839552372694, 'std': 0.37274032831192017}",
1753356069.2090418,3,4,3,parameter_transfer,"{'norm': 6.352725505828857, 'mean': -0.030109630897641182, 'std': 0.3731250464916229}",
1753356069.2090418,3,4,0,parameter_transfer,"{'norm': 6.352725505828857, 'mean': -0.030109630897641182, 'std': 0.3731250464916229}",
1753356069.2091398,3,4,0,aggregation,,GossipAvg
1753356069.2091398,3,1,0,aggregation,,GossipAvg
1753356069.2091775,3,0,1,aggregation,,GossipAvg
1753356069.2091775,3,2,1,aggregation,,GossipAvg
1753356069.2091928,3,1,2,aggregation,,GossipAvg
1753356069.2091928,3,3,2,aggregation,,GossipAvg
1753356069.2092042,3,2,3,aggregation,,GossipAvg
1753356069.2092042,3,4,3,aggregation,,GossipAvg
1753356069.2093048,3,3,4,aggregation,,GossipAvg
1753356069.2093048,3,0,4,aggregation,,GossipAvg
1753356076.525603,4,0,4,parameter_transfer,"{'norm': 7.889358043670654, 'mean': 0.0030061255674809217, 'std': 0.464875191450119}",
1753356076.525603,4,0,1,parameter_transfer,"{'norm': 7.889358043670654, 'mean': 0.0030061255674809217, 'std': 0.464875191450119}",
1753356076.5256643,4,1,0,parameter_transfer,"{'norm': 7.128198146820068, 'mean': -0.028634829446673393, 'std': 0.41905590891838074}",
1753356076.5256643,4,1,2,parameter_transfer,"{'norm': 7.128198146820068, 'mean': -0.028634829446673393, 'std': 0.41905590891838074}",
1753356076.5256953,4,2,1,parameter_transfer,"{'norm': 5.956179618835449, 'mean': -0.016804881393909454, 'std': 0.3505687117576599}",
1753356076.5256953,4,2,3,parameter_transfer,"{'norm': 5.956179618835449, 'mean': -0.016804881393909454, 'std': 0.3505687117576599}",
1753356076.525723,4,3,2,parameter_transfer,"{'norm': 7.043493747711182, 'mean': -0.025339199230074883, 'std': 0.4142676293849945}",
1753356076.525723,4,3,4,parameter_transfer,"{'norm': 7.043493747711182, 'mean': -0.025339199230074883, 'std': 0.4142676293849945}",
1753356076.5257473,4,4,3,parameter_transfer,"{'norm': 6.898833274841309, 'mean': -0.03578983247280121, 'std': 0.40493911504745483}",
1753356076.5257473,4,4,0,parameter_transfer,"{'norm': 6.898833274841309, 'mean': -0.03578983247280121, 'std': 0.40493911504745483}",
1753356076.5257783,4,4,0,aggregation,,GossipAvg
1753356076.5257783,4,1,0,aggregation,,GossipAvg
1753356076.5257957,4,0,1,aggregation,,GossipAvg
1753356076.5257957,4,2,1,aggregation,,GossipAvg
1753356076.5258088,4,1,2,aggregation,,GossipAvg
1753356076.5258088,4,3,2,aggregation,,GossipAvg
1753356076.52583,4,2,3,aggregation,,GossipAvg
1753356076.52583,4,4,3,aggregation,,GossipAvg
1753356076.5258415,4,3,4,aggregation,,GossipAvg
1753356076.5258415,4,0,4,aggregation,,GossipAvg
1753356083.8256958,5,0,4,parameter_transfer,"{'norm': 8.53211784362793, 'mean': -0.01872379332780838, 'std': 0.5024111270904541}",
1753356083.8256958,5,0,1,parameter_transfer,"{'norm': 8.53211784362793, 'mean': -0.01872379332780838, 'std': 0.5024111270904541}",
1753356083.8257582,5,1,0,parameter_transfer,"{'norm': 7.560779094696045, 'mean': -0.026342710480093956, 'std': 0.44474372267723083}",
1753356083.8257582,5,1,2,parameter_transfer,"{'norm': 7.560779094696045, 'mean': -0.026342710480093956, 'std': 0.44474372267723083}",
1753356083.8257897,5,2,1,parameter_transfer,"{'norm': 7.241863250732422, 'mean': -0.03833862021565437, 'std': 0.425005167722702}",
1753356083.8257897,5,2,3,parameter_transfer,"{'norm': 7.241863250732422, 'mean': -0.03833862021565437, 'std': 0.425005167722702}",
1753356083.8258154,5,3,2,parameter_transfer,"{'norm': 7.902418613433838, 'mean': -0.048308346420526505, 'std': 0.46314188838005066}",
1753356083.8258154,5,3,4,parameter_transfer,"{'norm': 7.902418613433838, 'mean': -0.048308346420526505, 'std': 0.46314188838005066}",
1753356083.8258398,5,4,3,parameter_transfer,"{'norm': 6.90910005569458, 'mean': -0.024873629212379456, 'std': 0.40636205673217773}",
1753356083.8258398,5,4,0,parameter_transfer,"{'norm': 6.90910005569458, 'mean': -0.024873629212379456, 'std': 0.40636205673217773}",
1753356083.825872,5,4,0,aggregation,,GossipAvg
1753356083.825872,5,1,0,aggregation,,GossipAvg
1753356083.8258884,5,0,1,aggregation,,GossipAvg
1753356083.8258884,5,2,1,aggregation,,GossipAvg
1753356083.8259146,5,1,2,aggregation,,GossipAvg
1753356083.8259146,5,3,2,aggregation,,GossipAvg
1753356083.8259254,5,2,3,aggregation,,GossipAvg
1753356083.8259254,5,4,3,aggregation,,GossipAvg
1753356083.826022,5,3,4,aggregation,,GossipAvg
1753356083.826022,5,0,4,aggregation,,GossipAvg
1753356090.8338034,6,0,4,parameter_transfer,"{'norm': 8.994318962097168, 'mean': -0.040056485682725906, 'std': 0.5284794569015503}",
1753356090.8338034,6,0,1,parameter_transfer,"{'norm': 8.994318962097168, 'mean': -0.040056485682725906, 'std': 0.5284794569015503}",
1753356090.8338673,6,1,0,parameter_transfer,"{'norm': 8.157524108886719, 'mean': -0.023087425157427788, 'std': 0.48013198375701904}",
1753356090.8338673,6,1,2,parameter_transfer,"{'norm': 8.157524108886719, 'mean': -0.023087425157427788, 'std': 0.48013198375701904}",
1753356090.8338995,6,2,1,parameter_transfer,"{'norm': 7.725454330444336, 'mean': -0.0351286344230175, 'std': 0.4538693428039551}",
1753356090.8338995,6,2,3,parameter_transfer,"{'norm': 7.725454330444336, 'mean': -0.0351286344230175, 'std': 0.4538693428039551}",
1753356090.8339293,6,3,2,parameter_transfer,"{'norm': 7.427490234375, 'mean': -0.03858311474323273, 'std': 0.43596509099006653}",
1753356090.8339293,6,3,4,parameter_transfer,"{'norm': 7.427490234375, 'mean': -0.03858311474323273, 'std': 0.43596509099006653}",
1753356090.8339548,6,4,3,parameter_transfer,"{'norm': 7.900330066680908, 'mean': -0.03616296499967575, 'std': 0.4641246795654297}",
1753356090.8339548,6,4,0,parameter_transfer,"{'norm': 7.900330066680908, 'mean': -0.03616296499967575, 'std': 0.4641246795654297}",
1753356090.8339856,6,4,0,aggregation,,GossipAvg
1753356090.8339856,6,1,0,aggregation,,GossipAvg
1753356090.8340044,6,0,1,aggregation,,GossipAvg
1753356090.8340044,6,2,1,aggregation,,GossipAvg
1753356090.8340216,6,1,2,aggregation,,GossipAvg
1753356090.8340216,6,3,2,aggregation,,GossipAvg
1753356090.834033,6,2,3,aggregation,,GossipAvg
1753356090.834033,6,4,3,aggregation,,GossipAvg
1753356090.8340442,6,3,4,aggregation,,GossipAvg
1753356090.8340442,6,0,4,aggregation,,GossipAvg
1753356098.0841446,7,0,4,parameter_transfer,"{'norm': 9.493824005126953, 'mean': -0.03817035257816315, 'std': 0.5581251978874207}",
1753356098.0841446,7,0,1,parameter_transfer,"{'norm': 9.493824005126953, 'mean': -0.03817035257816315, 'std': 0.5581251978874207}",
1753356098.0842056,7,1,0,parameter_transfer,"{'norm': 8.827937126159668, 'mean': -0.041049472987651825, 'std': 0.5185689926147461}",
1753356098.0842056,7,1,2,parameter_transfer,"{'norm': 8.827937126159668, 'mean': -0.041049472987651825, 'std': 0.5185689926147461}",
1753356098.084237,7,2,1,parameter_transfer,"{'norm': 8.243390083312988, 'mean': -0.04541531577706337, 'std': 0.48361870646476746}",
1753356098.084237,7,2,3,parameter_transfer,"{'norm': 8.243390083312988, 'mean': -0.04541531577706337, 'std': 0.48361870646476746}",
1753356098.0842645,7,3,2,parameter_transfer,"{'norm': 8.605727195739746, 'mean': -0.05809091776609421, 'std': 0.5037590265274048}",
1753356098.0842645,7,3,4,parameter_transfer,"{'norm': 8.605727195739746, 'mean': -0.05809091776609421, 'std': 0.5037590265274048}",
1753356098.0842893,7,4,3,parameter_transfer,"{'norm': 7.925818920135498, 'mean': -0.0352870374917984, 'std': 0.46569839119911194}",
1753356098.0842893,7,4,0,parameter_transfer,"{'norm': 7.925818920135498, 'mean': -0.0352870374917984, 'std': 0.46569839119911194}",
1753356098.0843203,7,4,0,aggregation,,GossipAvg
1753356098.0843203,7,1,0,aggregation,,GossipAvg
1753356098.0843363,7,0,1,aggregation,,GossipAvg
1753356098.0843363,7,2,1,aggregation,,GossipAvg
1753356098.0843508,7,1,2,aggregation,,GossipAvg
1753356098.0843508,7,3,2,aggregation,,GossipAvg
1753356098.084362,7,2,3,aggregation,,GossipAvg
1753356098.084362,7,4,3,aggregation,,GossipAvg
1753356098.0843732,7,3,4,aggregation,,GossipAvg
1753356098.0843732,7,0,4,aggregation,,GossipAvg
1753356105.2698207,8,0,4,parameter_transfer,"{'norm': 9.889254570007324, 'mean': -0.0537877194583416, 'std': 0.5802422165870667}",
1753356105.2698207,8,0,1,parameter_transfer,"{'norm': 9.889254570007324, 'mean': -0.0537877194583416, 'std': 0.5802422165870667}",
1753356105.2698832,8,1,0,parameter_transfer,"{'norm': 9.432101249694824, 'mean': -0.0347321480512619, 'std': 0.5547056794166565}",
1753356105.2698832,8,1,2,parameter_transfer,"{'norm': 9.432101249694824, 'mean': -0.0347321480512619, 'std': 0.5547056794166565}",
1753356105.269935,8,2,1,parameter_transfer,"{'norm': 8.438124656677246, 'mean': -0.048690907657146454, 'std': 0.4948314428329468}",
1753356105.269935,8,2,3,parameter_transfer,"{'norm': 8.438124656677246, 'mean': -0.048690907657146454, 'std': 0.4948314428329468}",
1753356105.2699642,8,3,2,parameter_transfer,"{'norm': 9.1520357131958, 'mean': -0.04283531382679939, 'std': 0.5375849604606628}",
1753356105.2699642,8,3,4,parameter_transfer,"{'norm': 9.1520357131958, 'mean': -0.04283531382679939, 'std': 0.5375849604606628}",
1753356105.2699888,8,4,3,parameter_transfer,"{'norm': 9.010132789611816, 'mean': -0.05904057249426842, 'std': 0.5276342630386353}",
1753356105.2699888,8,4,0,parameter_transfer,"{'norm': 9.010132789611816, 'mean': -0.05904057249426842, 'std': 0.5276342630386353}",
1753356105.2700183,8,4,0,aggregation,,GossipAvg
1753356105.2700183,8,1,0,aggregation,,GossipAvg
1753356105.270035,8,0,1,aggregation,,GossipAvg
1753356105.270035,8,2,1,aggregation,,GossipAvg
1753356105.2700489,8,1,2,aggregation,,GossipAvg
1753356105.2700489,8,3,2,aggregation,,GossipAvg
1753356105.270086,8,2,3,aggregation,,GossipAvg
1753356105.270086,8,4,3,aggregation,,GossipAvg
1753356105.270098,8,3,4,aggregation,,GossipAvg
1753356105.270098,8,0,4,aggregation,,GossipAvg
1753356112.4154718,9,0,4,parameter_transfer,"{'norm': 10.622993469238281, 'mean': -0.044637326151132584, 'std': 0.6243723630905151}",
1753356112.4154718,9,0,1,parameter_transfer,"{'norm': 10.622993469238281, 'mean': -0.044637326151132584, 'std': 0.6243723630905151}",
1753356112.4155574,9,1,0,parameter_transfer,"{'norm': 9.726612091064453, 'mean': -0.04369125887751579, 'std': 0.5714783668518066}",
1753356112.4155574,9,1,2,parameter_transfer,"{'norm': 9.726612091064453, 'mean': -0.04369125887751579, 'std': 0.5714783668518066}",
