edge,weight
0-1,4599.7
0-2,805.97
0-3,1158.23
0-4,92.49
0-5,1031.69
0-6,1143.24
0-7,1611.75
0-8,91.4
0-9,80.65
0-10,565.09
0-11,85.7
0-12,417.95
0-13,881.39
0-14,455.47
1-2,5690.32
1-3,115.32
1-4,5445.2
1-5,116.28
1-6,92.62
1-7,88.33
1-8,5911.21
1-9,1138.31
1-10,1124.17
1-11,1733.91
1-12,436.26
1-13,571.79
1-14,89.95
2-3,2297.11
2-4,4267.03
2-5,91.11
2-6,1026.49
2-7,946.72
2-8,438.4
2-9,432.78
2-10,116.6
2-11,570.51
2-12,1199.06
2-13,5993.63
2-14,564.05
3-4,5803.88
3-5,2373.82
3-6,119.17
3-7,5334.64
3-8,599.23
3-9,2005.93
3-10,824.25
3-11,5571.27
3-12,595.93
3-13,1078.89
3-14,5582.71
4-5,1067.78
4-6,5530.2
4-7,2373.16
4-8,500.95
4-9,1602.48
4-10,1042.7
4-11,578.31
4-12,437.84
4-13,905.88
4-14,923.37
5-6,4074.82
5-7,2295.47
5-8,5160.83
5-9,447.87
5-10,4592.85
5-11,109.02
5-12,481.11
5-13,5856.17
5-14,4292.64
6-7,5317.17
6-8,2366.72
6-9,4492.43
6-10,1190.88
6-11,2317.07
6-12,532.6
6-13,117.53
6-14,456.12
7-8,4700.12
7-9,528.23
7-10,83.44
7-11,872.58
7-12,100.09
7-13,509.21
7-14,106.38
8-9,4599.71
8-10,90.38
8-11,4558.63
8-12,4565.13
8-13,1945.31
8-14,2273.09
9-10,91.61
9-11,2116.45
9-12,4060.16
9-13,108.14
9-14,557.2
10-11,937.26
10-12,2053.6
10-13,1126.8
10-14,432.72
11-12,5639.84
11-13,4328.15
11-14,496.05
12-13,2144.46
12-14,4772.26
13-14,533.7
