edge,weight
0-1,1048.66
0-2,1977.12
0-3,1748.1
0-4,113.62
0-5,800.34
0-6,112.47
0-7,1133.07
0-8,928.1
0-9,5156.59
1-2,444.53
1-3,85.65
1-4,1027.91
1-5,2057.42
1-6,563.34
1-7,526.72
1-8,560.5
1-9,1943.3
2-3,553.17
2-4,569.87
2-5,111.23
2-6,5227.58
2-7,586.79
2-8,112.42
2-9,80.86
3-4,4407.99
3-5,430.75
3-6,112.09
3-7,2052.25
3-8,494.86
3-9,529.98
4-5,998.81
4-6,558.62
4-7,4044.83
4-8,1111.2
4-9,996.46
5-6,1818.25
5-7,2245.3
5-8,804.84
5-9,1144.6
6-7,943.17
6-8,499.55
6-9,1643.12
7-8,401.14
7-9,590.67
8-9,1900.73
