node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,128,local,8,128,tier1_hospital,0.992,standard,20000
1,clinic_001,5000,tier_2,32,HIPAA,4,128,tier2_hospital,0.94,critical,5000
2,research_center_002,5000,tier_3,64,HIPAA,8,256,research_center,0.988,high,100000
3,mobile_unit_003,1000,tier_1,8,PIPEDA,1,64,mobile_unit,0.833,standard,5000
4,edge_device_004,500,tier_2,8,PIPEDA,0,32,edge_device,0.828,high,1000
5,hospital_005,2000,tier_1,64,HIPAA,4,256,tier1_hospital,0.983,critical,20000
6,clinic_006,5000,tier_2,64,local,2,256,tier2_hospital,0.954,critical,10000
7,research_center_007,20000,tier_3,64,GDPR,16,512,research_center,0.992,high,20000
8,mobile_unit_008,1000,tier_1,4,local,2,16,mobile_unit,0.863,critical,5000
9,edge_device_009,50,tier_2,2,HIPAA,0,8,edge_device,0.795,critical,2000
