node_id,admin_level,certification,city,country,department,established_year,funding_source,institution_name,institution_type,region,staff_count,timezone
0,national,SOC2,Rochester,USA,radiology,2015,research_grant,mayo_clinic,tier1_hospital,north_america,1852,America/Chicago
1,national,ISO27001,Baltimore,USA,oncology,1952,public,johns_hopkins,tier2_hospital,europe,4453,America/New_York
2,local,HIPAA_compliant,Palo Alto,USA,cardiology,1988,mixed,stanford_med,research_center,asia_pacific,1490,America/Los_Angeles
3,national,SOC2,Boston,USA,neurology,2014,public,mass_general,mobile_unit,south_america,303,America/New_York
4,international,FedRAMP,Los Angeles,USA,pathology,1966,public,ucla_health,edge_device,africa,502,America/Los_Angeles
5,national,FedRAMP,London,UK,radiology,2009,public,mayo_clinic,tier1_hospital,north_america,782,Europe/London
6,local,HIPAA_compliant,Paris,France,oncology,1995,research_grant,johns_hopkins,tier2_hospital,europe,3078,Europe/Paris
7,local,HIPAA_compliant,Tokyo,Japan,cardiology,1983,research_grant,stanford_med,research_center,asia_pacific,4929,Asia/Tokyo
8,international,HIPAA_compliant,Singapore,Singapore,neurology,1960,private,mass_general,mobile_unit,south_america,3436,Asia/Singapore
9,national,SOC2,Sydney,Australia,pathology,1995,mixed,ucla_health,edge_device,africa,3511,Australia/Sydney
