node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,32,PIPEDA,16,512,tier1_hospital,0.969,critical,10000
1,clinic_001,1000,tier_2,64,GDPR,2,64,tier2_hospital,0.901,critical,10000
2,research_center_002,5000,tier_3,256,GDPR,32,256,research_center,0.981,critical,50000
3,mobile_unit_003,100,tier_1,4,local,2,16,mobile_unit,0.759,standard,1000
4,edge_device_004,500,tier_2,2,HIPAA,1,16,edge_device,0.734,critical,500
5,hospital_005,5000,tier_1,32,local,16,128,tier1_hospital,0.966,high,10000
6,clinic_006,1000,tier_2,64,local,8,64,tier2_hospital,0.98,critical,20000
7,research_center_007,20000,tier_3,64,local,16,1024,research_center,0.989,high,50000
8,mobile_unit_008,1000,tier_1,8,HIPAA,1,16,mobile_unit,0.765,critical,1000
9,edge_device_009,50,tier_2,2,GDPR,1,16,edge_device,0.772,standard,500
10,hospital_010,5000,tier_1,32,HIPAA,4,512,tier1_hospital,0.978,high,20000
11,clinic_011,2000,tier_2,16,PIPEDA,4,128,tier2_hospital,0.912,high,10000
12,research_center_012,5000,tier_3,64,HIPAA,8,256,research_center,0.99,high,50000
13,mobile_unit_013,100,tier_1,16,GDPR,1,16,mobile_unit,0.764,critical,5000
14,edge_device_014,50,tier_2,8,PIPEDA,0,16,edge_device,0.798,critical,500
15,hospital_015,10000,tier_1,32,PIPEDA,4,512,tier1_hospital,0.952,high,50000
16,clinic_016,2000,tier_2,16,HIPAA,8,128,tier2_hospital,0.941,standard,20000
17,research_center_017,10000,tier_3,64,GDPR,16,1024,research_center,1.0,critical,50000
18,mobile_unit_018,100,tier_1,16,local,1,32,mobile_unit,0.812,standard,5000
19,edge_device_019,500,tier_2,4,local,0,16,edge_device,0.717,critical,1000
