node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,64,PIPEDA,4,128,tier1_hospital,0.95,high,50000
1,clinic_001,2000,tier_2,32,HIPAA,2,64,tier2_hospital,0.93,high,10000
2,research_center_002,5000,tier_3,64,GDPR,8,1024,research_center,0.999,high,50000
3,mobile_unit_003,500,tier_1,16,local,1,32,mobile_unit,0.823,high,5000
4,edge_device_004,500,tier_2,2,PIPEDA,1,8,edge_device,0.799,high,2000
5,hospital_005,5000,tier_1,64,local,16,512,tier1_hospital,0.954,critical,20000
6,clinic_006,5000,tier_2,64,PIPEDA,8,128,tier2_hospital,0.919,critical,20000
7,research_center_007,5000,tier_3,64,local,32,1024,research_center,0.99,critical,50000
8,mobile_unit_008,1000,tier_1,4,PIPEDA,2,16,mobile_unit,0.898,standard,1000
9,edge_device_009,500,tier_2,4,PIPEDA,0,8,edge_device,0.713,standard,500
