node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,128,GDPR,8,256,tier1_hospital,0.985,standard,10000
1,clinic_001,5000,tier_2,32,PIPEDA,2,64,tier2_hospital,0.943,critical,5000
2,research_center_002,20000,tier_3,64,GDPR,32,1024,research_center,0.993,standard,100000
3,mobile_unit_003,500,tier_1,16,GDPR,1,32,mobile_unit,0.792,high,2000
4,edge_device_004,500,tier_2,8,HIPAA,0,32,edge_device,0.864,high,2000
5,hospital_005,5000,tier_1,32,local,4,128,tier1_hospital,0.984,high,20000
6,clinic_006,5000,tier_2,64,HIPAA,8,256,tier2_hospital,0.931,standard,10000
7,research_center_007,10000,tier_3,128,local,32,512,research_center,0.989,high,100000
8,mobile_unit_008,100,tier_1,16,PIPEDA,2,32,mobile_unit,0.843,high,2000
9,edge_device_009,50,tier_2,4,HIPAA,1,8,edge_device,0.893,critical,500
