node_id,latitude,longitude
0,44.026769,-92.430395
1,39.291903,-76.642175
2,37.45828,-122.186483
3,42.341572,-71.075303
4,34.084695,-118.197942
5,51.534358,-0.131133
6,48.892457,2.371323
7,35.650008,139.608601
8,1.359559,103.847872
9,-33.870774,151.228493
10,44.012652,-92.461092
11,39.314124,-76.652694
12,37.438008,-122.137273
13,42.352632,-71.033274
14,34.053652,-118.210316
15,51.546314,-0.112364
16,48.865517,2.309854
17,35.683711,139.659473
18,1.322099,103.832945
19,-33.891602,151.176321
