edge,weight
0-1,1031.17
0-2,93.45
0-3,5868.54
0-4,554.93
0-5,800.91
0-6,88.77
0-7,5729.02
0-8,1866.01
0-9,2094.31
0-10,1825.72
0-11,84.18
0-12,1870.06
0-13,1813.69
0-14,2222.26
1-2,105.86
1-3,103.82
1-4,1080.5
1-5,116.32
1-6,4607.15
1-7,4760.83
1-8,2048.05
1-9,4958.4
1-10,1144.73
1-11,95.62
1-12,1778.99
1-13,2249.17
1-14,82.85
2-3,1976.08
2-4,412.75
2-5,838.25
2-6,825.56
2-7,489.17
2-8,115.07
2-9,456.62
2-10,4109.98
2-11,118.27
2-12,453.58
2-13,1037.46
2-14,86.77
3-4,2127.83
3-5,895.76
3-6,97.88
3-7,114.6
3-8,84.56
3-9,2058.91
3-10,580.72
3-11,1160.64
3-12,82.26
3-13,2094.66
3-14,81.8
4-5,1045.17
4-6,469.44
4-7,481.97
4-8,1136.98
4-9,4480.0
4-10,427.95
4-11,111.32
4-12,4762.13
4-13,2145.7
4-14,854.52
5-6,487.61
5-7,912.05
5-8,5137.01
5-9,95.57
5-10,5859.71
5-11,567.23
5-12,1169.16
5-13,2347.12
5-14,463.86
6-7,5572.79
6-8,94.45
6-9,517.15
6-10,5153.75
6-11,1816.92
6-12,539.06
6-13,400.91
6-14,2364.33
7-8,92.78
7-9,2303.73
7-10,5839.83
7-11,1082.44
7-12,597.48
7-13,1802.72
7-14,4452.89
8-9,547.43
8-10,5752.37
8-11,87.7
8-12,1991.87
8-13,1920.23
8-14,5470.44
9-10,5470.85
9-11,4026.38
9-12,4884.35
9-13,982.82
9-14,2191.9
10-11,2283.69
10-12,5790.65
10-13,95.31
10-14,1999.2
11-12,87.91
11-13,5732.78
11-14,1793.04
12-13,4067.99
12-14,5160.21
13-14,1044.11
