node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,64,HIPAA,16,128,tier1_hospital,0.962,critical,20000
1,clinic_001,2000,tier_2,64,GDPR,4,64,tier2_hospital,0.931,critical,10000
2,research_center_002,20000,tier_3,64,HIPAA,16,256,research_center,0.996,critical,50000
3,mobile_unit_003,500,tier_1,4,PIPEDA,1,32,mobile_unit,0.771,high,1000
4,edge_device_004,50,tier_2,8,GDPR,0,8,edge_device,0.858,critical,1000
5,hospital_005,5000,tier_1,128,PIPEDA,8,512,tier1_hospital,0.959,critical,20000
6,clinic_006,5000,tier_2,32,GDPR,4,256,tier2_hospital,0.934,critical,10000
7,research_center_007,20000,tier_3,64,local,16,256,research_center,0.986,standard,20000
8,mobile_unit_008,500,tier_1,16,local,2,32,mobile_unit,0.758,critical,1000
9,edge_device_009,500,tier_2,4,local,1,8,edge_device,0.707,critical,500
