edge,weight
0-1,512.56
0-2,1057.82
0-3,4747.35
0-4,420.77
0-5,109.76
0-6,106.31
0-7,451.45
0-8,536.83
0-9,853.84
1-2,2214.96
1-3,5833.87
1-4,1985.84
1-5,1129.37
1-6,5904.14
1-7,5625.55
1-8,104.21
1-9,432.16
2-3,108.72
2-4,1906.71
2-5,5626.43
2-6,4289.74
2-7,97.41
2-8,5245.67
2-9,115.5
3-4,91.23
3-5,1959.77
3-6,1817.54
3-7,1922.59
3-8,4651.6
3-9,992.82
4-5,110.78
4-6,112.38
4-7,5472.05
4-8,1012.36
4-9,111.58
5-6,5996.23
5-7,95.62
5-8,511.56
5-9,1888.89
6-7,87.44
6-8,2129.06
6-9,586.69
7-8,83.26
7-9,104.77
8-9,4434.7
