node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,32,PIPEDA,4,512,tier1_hospital,0.952,critical,10000
1,clinic_001,1000,tier_2,32,HIPAA,8,64,tier2_hospital,0.922,high,5000
2,research_center_002,20000,tier_3,256,local,16,1024,research_center,0.995,critical,100000
3,mobile_unit_003,500,tier_1,16,PIPEDA,1,64,mobile_unit,0.827,critical,2000
4,edge_device_004,50,tier_2,4,local,0,8,edge_device,0.817,standard,2000
5,hospital_005,5000,tier_1,64,PIPEDA,4,128,tier1_hospital,0.999,high,20000
6,clinic_006,2000,tier_2,32,HIPAA,2,128,tier2_hospital,0.916,critical,5000
7,research_center_007,5000,tier_3,64,PIPEDA,8,256,research_center,0.988,high,20000
8,mobile_unit_008,100,tier_1,4,PIPEDA,1,64,mobile_unit,0.804,critical,5000
9,edge_device_009,50,tier_2,2,HIPAA,1,32,edge_device,0.777,standard,2000
