edge,weight
0-1,2387.39
0-2,404.25
0-3,572.63
0-4,442.21
0-5,5503.51
0-6,2233.16
0-7,2367.66
0-8,86.14
0-9,118.22
1-2,4557.52
1-3,2103.4
1-4,2116.0
1-5,2126.12
1-6,5748.83
1-7,489.2
1-8,503.29
1-9,1065.26
2-3,4887.95
2-4,886.41
2-5,109.29
2-6,1922.63
2-7,103.8
2-8,445.5
2-9,96.18
3-4,85.84
3-5,2175.07
3-6,109.16
3-7,5812.09
3-8,1180.36
3-9,2279.93
4-5,1134.88
4-6,583.77
4-7,539.05
4-8,2323.81
4-9,988.95
5-6,1071.55
5-7,590.71
5-8,454.09
5-9,2096.81
6-7,5977.44
6-8,486.61
6-9,441.51
7-8,4860.25
7-9,845.98
8-9,87.32
