node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,64,GDPR,4,512,tier1_hospital,0.971,critical,10000
1,clinic_001,1000,tier_2,32,HIPAA,2,256,tier2_hospital,0.97,critical,5000
2,research_center_002,20000,tier_3,256,local,16,1024,research_center,0.994,standard,50000
3,mobile_unit_003,1000,tier_1,16,GDPR,2,32,mobile_unit,0.778,high,1000
4,edge_device_004,500,tier_2,2,GDPR,1,8,edge_device,0.884,critical,2000
5,hospital_005,2000,tier_1,64,HIPAA,16,512,tier1_hospital,0.995,standard,10000
6,clinic_006,1000,tier_2,64,local,2,64,tier2_hospital,0.969,standard,10000
7,research_center_007,10000,tier_3,64,local,8,512,research_center,0.988,critical,20000
8,mobile_unit_008,1000,tier_1,16,local,2,64,mobile_unit,0.768,critical,5000
9,edge_device_009,500,tier_2,8,GDPR,1,8,edge_device,0.748,critical,2000
