node_id,latitude,longitude
0,43.990694,-92.506546
1,39.284824,-76.661092
2,37.434422,-122.12594
3,42.367593,-71.021114
4,34.034043,-118.230092
5,51.481745,-0.176139
6,48.887248,2.386046
7,35.631798,139.657527
8,1.399118,103.865583
9,-33.847279,151.181419
10,43.985508,-92.458536
11,39.313926,-76.628543
12,37.424769,-122.178013
13,42.377964,-71.03993
14,34.092376,-118.214421
15,51.525582,-0.132151
16,48.812182,2.326148
17,35.664055,139.600532
18,1.324407,103.86916
19,-33.830697,151.225827
