node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,32,local,16,512,tier1_hospital,0.95,critical,10000
1,clinic_001,2000,tier_2,64,PIPEDA,4,256,tier2_hospital,0.937,critical,5000
2,research_center_002,20000,tier_3,256,HIPAA,8,512,research_center,0.981,critical,20000
3,mobile_unit_003,100,tier_1,16,GDPR,1,64,mobile_unit,0.893,high,1000
4,edge_device_004,50,tier_2,8,local,1,8,edge_device,0.863,standard,2000
5,hospital_005,2000,tier_1,32,HIPAA,16,512,tier1_hospital,0.952,critical,20000
6,clinic_006,2000,tier_2,32,GDPR,2,64,tier2_hospital,0.958,critical,10000
7,research_center_007,20000,tier_3,64,GDPR,16,256,research_center,0.982,standard,20000
8,mobile_unit_008,1000,tier_1,4,local,2,32,mobile_unit,0.877,standard,2000
9,edge_device_009,50,tier_2,8,PIPEDA,0,16,edge_device,0.79,critical,1000
10,hospital_010,10000,tier_1,64,HIPAA,8,512,tier1_hospital,0.955,high,50000
11,clinic_011,2000,tier_2,16,PIPEDA,4,256,tier2_hospital,0.907,standard,20000
12,research_center_012,10000,tier_3,64,local,8,256,research_center,0.994,high,20000
13,mobile_unit_013,100,tier_1,16,PIPEDA,2,64,mobile_unit,0.845,critical,1000
14,edge_device_014,50,tier_2,8,PIPEDA,0,16,edge_device,0.836,critical,500
15,hospital_015,5000,tier_1,32,PIPEDA,8,128,tier1_hospital,0.975,high,10000
16,clinic_016,5000,tier_2,32,local,2,64,tier2_hospital,0.956,standard,20000
17,research_center_017,20000,tier_3,64,HIPAA,32,1024,research_center,0.994,high,20000
18,mobile_unit_018,100,tier_1,16,local,1,64,mobile_unit,0.803,standard,5000
19,edge_device_019,100,tier_2,8,GDPR,1,8,edge_device,0.829,high,500
