edge,weight
0-1,104.06
0-2,4008.33
0-3,4295.03
0-4,4432.12
0-5,97.12
0-6,119.98
0-7,902.54
0-8,4776.32
0-9,4639.83
1-2,401.98
1-3,87.2
1-4,4300.79
1-5,86.36
1-6,114.44
1-7,2191.73
1-8,596.8
1-9,2022.69
2-3,5770.97
2-4,427.92
2-5,1110.91
2-6,406.94
2-7,850.17
2-8,566.13
2-9,4493.09
3-4,4980.72
3-5,589.33
3-6,962.54
3-7,557.4
3-8,1105.58
3-9,5159.4
4-5,4626.3
4-6,4782.32
4-7,5410.26
4-8,520.95
4-9,470.16
5-6,479.73
5-7,105.24
5-8,99.81
5-9,459.62
6-7,101.71
6-8,594.22
6-9,511.78
7-8,1845.07
7-9,530.05
8-9,1019.61
