edge,weight
0-1,88.96
0-2,828.71
0-3,5284.48
0-4,2232.13
0-5,90.8
0-6,514.37
0-7,1974.01
0-8,450.22
0-9,97.24
1-2,914.49
1-3,1058.03
1-4,403.43
1-5,1954.07
1-6,2063.04
1-7,2066.53
1-8,85.22
1-9,555.09
2-3,111.98
2-4,93.39
2-5,99.32
2-6,2064.53
2-7,2388.66
2-8,403.61
2-9,5754.86
3-4,95.39
3-5,2111.07
3-6,113.37
3-7,1658.62
3-8,2326.45
3-9,1980.8
4-5,1094.37
4-6,592.27
4-7,4524.82
4-8,96.67
4-9,440.12
5-6,4275.96
5-7,2386.41
5-8,1158.22
5-9,88.3
6-7,5130.01
6-8,412.63
6-9,86.15
7-8,1671.39
7-9,526.52
8-9,821.01
