node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,128,HIPAA,8,128,tier1_hospital,0.972,standard,10000
1,clinic_001,5000,tier_2,16,GDPR,4,256,tier2_hospital,0.965,critical,10000
2,research_center_002,20000,tier_3,128,local,8,256,research_center,0.99,high,50000
3,mobile_unit_003,100,tier_1,8,PIPEDA,2,16,mobile_unit,0.813,standard,1000
4,edge_device_004,100,tier_2,2,PIPEDA,0,16,edge_device,0.779,critical,1000
5,hospital_005,10000,tier_1,64,HIPAA,16,512,tier1_hospital,0.952,standard,10000
6,clinic_006,5000,tier_2,16,PIPEDA,4,64,tier2_hospital,0.902,high,20000
7,research_center_007,20000,tier_3,128,GDPR,16,1024,research_center,0.99,standard,20000
8,mobile_unit_008,500,tier_1,16,local,2,32,mobile_unit,0.9,standard,1000
9,edge_device_009,500,tier_2,2,HIPAA,1,8,edge_device,0.803,critical,1000
