edge,weight
0-1,496.42
0-2,439.48
0-3,5693.02
0-4,1843.62
0-5,837.44
0-6,80.57
0-7,100.74
0-8,100.9
0-9,108.04
1-2,2332.46
1-3,540.19
1-4,1132.81
1-5,400.25
1-6,4902.05
1-7,1094.26
1-8,2355.24
1-9,599.06
2-3,1184.6
2-4,107.3
2-5,543.41
2-6,858.49
2-7,2344.65
2-8,529.62
2-9,4930.41
3-4,4241.67
3-5,110.27
3-6,106.27
3-7,2299.01
3-8,109.27
3-9,1640.42
4-5,2266.07
4-6,112.58
4-7,965.11
4-8,902.47
4-9,1178.86
5-6,497.86
5-7,82.19
5-8,81.13
5-9,4161.83
6-7,1940.5
6-8,822.25
6-9,4607.9
7-8,491.07
7-9,4363.55
8-9,1037.54
