edge,weight
0-1,560.38
0-2,97.81
0-3,431.46
0-4,991.98
0-5,4164.14
0-6,1920.5
0-7,946.45
0-8,500.67
0-9,5477.83
1-2,1085.88
1-3,525.72
1-4,81.71
1-5,914.6
1-6,2049.69
1-7,113.3
1-8,1006.48
1-9,1693.07
2-3,1614.43
2-4,5321.79
2-5,580.39
2-6,99.13
2-7,5402.94
2-8,4833.32
2-9,937.7
3-4,877.17
3-5,116.22
3-6,93.9
3-7,842.63
3-8,4123.82
3-9,2059.65
4-5,464.56
4-6,4541.4
4-7,2289.63
4-8,103.14
4-9,412.88
5-6,472.72
5-7,112.49
5-8,101.23
5-9,5327.57
6-7,2082.38
6-8,4918.98
6-9,421.63
7-8,417.52
7-9,5095.4
8-9,118.5
