node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,64,local,4,256,tier1_hospital,0.988,standard,50000
1,clinic_001,1000,tier_2,16,PIPEDA,8,64,tier2_hospital,0.931,critical,20000
2,research_center_002,10000,tier_3,64,local,8,512,research_center,0.992,critical,50000
3,mobile_unit_003,500,tier_1,4,GDPR,1,64,mobile_unit,0.865,high,5000
4,edge_device_004,50,tier_2,2,local,1,32,edge_device,0.802,critical,2000
5,hospital_005,2000,tier_1,64,HIPAA,8,512,tier1_hospital,0.963,critical,50000
6,clinic_006,1000,tier_2,32,GDPR,4,256,tier2_hospital,0.94,standard,10000
7,research_center_007,5000,tier_3,256,PIPEDA,16,256,research_center,0.985,standard,50000
8,mobile_unit_008,500,tier_1,8,GDPR,2,32,mobile_unit,0.778,critical,5000
9,edge_device_009,100,tier_2,2,local,0,16,edge_device,0.865,critical,1000
10,hospital_010,2000,tier_1,64,local,4,256,tier1_hospital,0.957,high,50000
11,clinic_011,2000,tier_2,32,PIPEDA,4,128,tier2_hospital,0.923,critical,10000
12,research_center_012,20000,tier_3,256,PIPEDA,32,1024,research_center,0.982,standard,50000
13,mobile_unit_013,1000,tier_1,16,GDPR,2,16,mobile_unit,0.861,high,1000
14,edge_device_014,500,tier_2,4,PIPEDA,0,8,edge_device,0.856,critical,2000
