edge,weight
0-1,498.59
0-2,976.87
0-3,87.37
0-4,459.68
0-5,106.88
0-6,1050.23
0-7,4764.59
0-8,1137.52
0-9,118.18
0-10,531.13
0-11,909.95
0-12,4435.37
0-13,4830.13
0-14,501.84
1-2,524.81
1-3,425.33
1-4,2017.06
1-5,507.24
1-6,5260.52
1-7,1142.14
1-8,565.4
1-9,103.9
1-10,570.05
1-11,449.29
1-12,846.62
1-13,554.5
1-14,1944.1
2-3,95.39
2-4,823.78
2-5,90.43
2-6,90.52
2-7,96.37
2-8,92.19
2-9,2211.6
2-10,1042.25
2-11,1115.56
2-12,5600.76
2-13,2097.65
2-14,839.8
3-4,891.61
3-5,108.88
3-6,4964.44
3-7,513.92
3-8,5511.96
3-9,550.69
3-10,575.71
3-11,5105.68
3-12,1689.63
3-13,2163.61
3-14,585.87
4-5,2128.16
4-6,4136.01
4-7,1609.06
4-8,528.06
4-9,546.77
4-10,472.07
4-11,581.23
4-12,1015.41
4-13,845.36
4-14,2362.94
5-6,1068.73
5-7,2294.51
5-8,819.18
5-9,1093.84
5-10,1001.51
5-11,85.03
5-12,413.24
5-13,1129.17
5-14,562.75
6-7,95.9
6-8,99.62
6-9,439.48
6-10,955.71
6-11,111.34
6-12,5760.42
6-13,1760.12
6-14,434.26
7-8,4810.57
7-9,99.52
7-10,808.7
7-11,90.94
7-12,1651.33
7-13,2043.49
7-14,1962.05
8-9,1949.41
8-10,446.7
8-11,4527.78
8-12,1621.25
8-13,1600.27
8-14,1076.3
9-10,2120.06
9-11,2319.53
9-12,803.29
9-13,5905.92
9-14,561.24
10-11,2345.38
10-12,4167.79
10-13,5079.54
10-14,1117.17
11-12,1762.94
11-13,108.94
11-14,112.99
12-13,91.06
12-14,1060.75
13-14,111.32
