edge,weight
0-1,5476.65
0-2,446.92
0-3,1916.01
0-4,5654.44
0-5,4498.54
0-6,81.21
0-7,80.28
0-8,82.94
0-9,515.24
1-2,2352.33
1-3,117.35
1-4,1109.33
1-5,1096.46
1-6,453.52
1-7,4237.23
1-8,564.84
1-9,577.02
2-3,1028.95
2-4,2251.38
2-5,102.12
2-6,113.1
2-7,1071.32
2-8,867.57
2-9,2065.96
3-4,113.0
3-5,1173.33
3-6,89.43
3-7,574.47
3-8,475.17
3-9,1060.22
4-5,1666.65
4-6,2074.01
4-7,595.63
4-8,2387.27
4-9,105.84
5-6,106.44
5-7,113.02
5-8,938.73
5-9,444.42
6-7,478.7
6-8,1055.0
6-9,89.2
7-8,559.76
7-9,1801.62
8-9,560.53
