node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,64,GDPR,4,256,tier1_hospital,0.996,standard,20000
1,clinic_001,2000,tier_2,16,HIPAA,4,256,tier2_hospital,0.91,high,5000
2,research_center_002,20000,tier_3,64,local,8,512,research_center,0.988,high,100000
3,mobile_unit_003,100,tier_1,8,HIPAA,2,64,mobile_unit,0.849,critical,1000
4,edge_device_004,100,tier_2,4,PIPEDA,0,32,edge_device,0.866,critical,1000
5,hospital_005,10000,tier_1,128,PIPEDA,8,128,tier1_hospital,0.994,critical,50000
6,clinic_006,1000,tier_2,32,local,4,128,tier2_hospital,0.9,critical,20000
7,research_center_007,20000,tier_3,256,PIPEDA,16,256,research_center,0.986,high,50000
8,mobile_unit_008,500,tier_1,8,PIPEDA,1,64,mobile_unit,0.878,standard,2000
9,edge_device_009,500,tier_2,2,HIPAA,0,8,edge_device,0.777,high,2000
10,hospital_010,5000,tier_1,64,local,8,512,tier1_hospital,0.989,critical,20000
11,clinic_011,2000,tier_2,64,local,8,128,tier2_hospital,0.966,standard,10000
12,research_center_012,5000,tier_3,128,local,16,512,research_center,0.992,high,20000
13,mobile_unit_013,100,tier_1,4,HIPAA,2,16,mobile_unit,0.815,high,5000
14,edge_device_014,50,tier_2,8,PIPEDA,0,32,edge_device,0.758,high,2000
15,hospital_015,2000,tier_1,32,HIPAA,4,128,tier1_hospital,0.952,standard,50000
16,clinic_016,2000,tier_2,16,local,2,128,tier2_hospital,0.971,standard,5000
17,research_center_017,20000,tier_3,256,GDPR,16,512,research_center,0.99,standard,50000
18,mobile_unit_018,1000,tier_1,8,PIPEDA,1,64,mobile_unit,0.826,standard,2000
19,edge_device_019,50,tier_2,4,HIPAA,1,32,edge_device,0.751,critical,500
