node_id,admin_level,certification,city,country,department,established_year,funding_source,institution_name,institution_type,region,staff_count,timezone
0,international,ISO27001,Rochester,USA,radiology,1985,mixed,mayo_clinic,tier1_hospital,north_america,4384,America/Chicago
1,international,SOC2,Baltimore,USA,oncology,1970,research_grant,johns_hopkins,tier2_hospital,europe,2122,America/New_York
2,international,SOC2,Palo Alto,USA,cardiology,1966,mixed,stanford_med,research_center,asia_pacific,2026,America/Los_Angeles
3,international,ISO27001,Boston,USA,neurology,1980,research_grant,mass_general,mobile_unit,south_america,4315,America/New_York
4,local,SOC2,Los Angeles,USA,pathology,2014,private,ucla_health,edge_device,africa,4995,America/Los_Angeles
5,national,ISO27001,London,UK,radiology,1990,public,mayo_clinic,tier1_hospital,north_america,2820,Europe/London
6,international,HIPAA_compliant,Paris,France,oncology,1980,research_grant,johns_hopkins,tier2_hospital,europe,726,Europe/Paris
7,local,SOC2,Tokyo,Japan,cardiology,1955,private,stanford_med,research_center,asia_pacific,3870,Asia/Tokyo
8,regional,ISO27001,Singapore,Singapore,neurology,2001,public,mass_general,mobile_unit,south_america,3880,Asia/Singapore
9,international,FedRAMP,Sydney,Australia,pathology,2006,private,ucla_health,edge_device,africa,3123,Australia/Sydney
