node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,32,HIPAA,8,256,tier1_hospital,0.995,critical,10000
1,clinic_001,5000,tier_2,16,GDPR,8,128,tier2_hospital,0.925,standard,5000
2,research_center_002,5000,tier_3,128,local,8,1024,research_center,0.997,critical,20000
3,mobile_unit_003,500,tier_1,8,GDPR,1,64,mobile_unit,0.882,critical,5000
4,edge_device_004,500,tier_2,2,HIPAA,0,8,edge_device,0.841,critical,1000
5,hospital_005,5000,tier_1,32,PIPEDA,16,128,tier1_hospital,0.987,critical,50000
6,clinic_006,1000,tier_2,16,PIPEDA,4,128,tier2_hospital,0.957,critical,20000
7,research_center_007,10000,tier_3,256,HIPAA,32,1024,research_center,0.984,high,100000
8,mobile_unit_008,100,tier_1,4,local,1,64,mobile_unit,0.889,standard,2000
9,edge_device_009,100,tier_2,4,PIPEDA,0,16,edge_device,0.756,standard,1000
