edge,weight
0-1,5428.64
0-2,4674.19
0-3,847.9
0-4,2328.42
0-5,5888.39
0-6,1931.87
0-7,1821.38
0-8,2238.17
0-9,509.01
1-2,923.69
1-3,509.69
1-4,1067.9
1-5,111.56
1-6,115.27
1-7,2094.44
1-8,109.7
1-9,5437.58
2-3,2113.81
2-4,929.23
2-5,4202.58
2-6,2179.44
2-7,800.37
2-8,4228.07
2-9,2149.26
3-4,529.03
3-5,1662.03
3-6,462.99
3-7,1761.28
3-8,447.11
3-9,460.19
4-5,107.94
4-6,1804.85
4-7,118.49
4-8,429.92
4-9,524.55
5-6,86.87
5-7,950.38
5-8,104.5
5-9,2044.64
6-7,4723.47
6-8,5844.96
6-9,86.93
7-8,119.63
7-9,110.46
8-9,1121.62
