node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,64,local,4,128,tier1_hospital,0.998,high,50000
1,clinic_001,5000,tier_2,64,HIPAA,4,128,tier2_hospital,0.921,standard,10000
2,research_center_002,10000,tier_3,64,GDPR,16,1024,research_center,0.992,standard,100000
3,mobile_unit_003,1000,tier_1,16,HIPAA,2,16,mobile_unit,0.762,high,5000
4,edge_device_004,50,tier_2,8,PIPEDA,1,8,edge_device,0.745,critical,1000
5,hospital_005,5000,tier_1,128,PIPEDA,8,512,tier1_hospital,0.969,standard,50000
6,clinic_006,2000,tier_2,32,GDPR,8,128,tier2_hospital,0.921,critical,20000
7,research_center_007,10000,tier_3,128,PIPEDA,32,256,research_center,0.99,high,100000
8,mobile_unit_008,500,tier_1,16,local,2,64,mobile_unit,0.795,high,2000
9,edge_device_009,100,tier_2,2,GDPR,0,16,edge_device,0.797,critical,500
