edge,weight
0-1,4126.63
0-2,1022.86
0-3,2047.13
0-4,427.85
0-5,551.96
0-6,508.26
0-7,1154.77
0-8,2285.34
0-9,4026.97
1-2,103.54
1-3,1965.29
1-4,931.0
1-5,489.07
1-6,1990.13
1-7,1866.5
1-8,871.36
1-9,1865.46
2-3,4550.87
2-4,91.74
2-5,1732.11
2-6,549.75
2-7,5213.35
2-8,2007.98
2-9,1172.44
3-4,103.62
3-5,110.09
3-6,5211.36
3-7,94.34
3-8,4913.56
3-9,108.36
4-5,994.43
4-6,861.5
4-7,406.51
4-8,98.07
4-9,1195.01
5-6,111.92
5-7,1800.87
5-8,919.85
5-9,1880.62
6-7,4956.96
6-8,851.27
6-9,475.17
7-8,983.64
7-9,441.43
8-9,406.63
