edge,weight
0-1,474.38
0-2,1003.32
0-3,1164.33
0-4,421.47
0-5,5912.51
0-6,1006.01
0-7,1900.29
0-8,1710.68
0-9,4462.15
0-10,844.85
0-11,5125.43
0-12,1865.54
0-13,119.29
0-14,1154.13
1-2,106.81
1-3,80.35
1-4,4592.96
1-5,592.4
1-6,563.91
1-7,1910.08
1-8,4567.37
1-9,80.21
1-10,4021.43
1-11,472.53
1-12,5019.39
1-13,864.89
1-14,5563.19
2-3,576.97
2-4,89.39
2-5,2004.2
2-6,1735.68
2-7,905.17
2-8,915.89
2-9,448.56
2-10,2117.66
2-11,1154.83
2-12,114.34
2-13,5743.93
2-14,80.53
3-4,2274.07
3-5,1188.76
3-6,920.48
3-7,5733.7
3-8,1884.67
3-9,410.03
3-10,1173.81
3-11,510.08
3-12,856.15
3-13,2348.98
3-14,996.45
4-5,800.87
4-6,1199.66
4-7,522.05
4-8,570.99
4-9,84.46
4-10,5753.6
4-11,4034.61
4-12,93.27
4-13,91.69
4-14,81.3
5-6,4116.9
5-7,104.55
5-8,5188.48
5-9,107.78
5-10,1096.71
5-11,4507.21
5-12,99.95
5-13,933.56
5-14,520.5
6-7,444.68
6-8,4818.2
6-9,570.47
6-10,2360.53
6-11,1974.36
6-12,2136.31
6-13,80.63
6-14,2024.85
7-8,118.59
7-9,5449.9
7-10,113.61
7-11,5568.56
7-12,1864.75
7-13,1074.47
7-14,1109.34
8-9,4832.72
8-10,81.71
8-11,86.79
8-12,1090.52
8-13,1116.61
8-14,1140.62
9-10,2290.64
9-11,883.68
9-12,1837.1
9-13,103.93
9-14,441.92
10-11,2221.78
10-12,577.79
10-13,109.84
10-14,4286.17
11-12,944.44
11-13,2275.24
11-14,94.7
12-13,80.26
12-14,5249.0
13-14,91.14
