node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,64,PIPEDA,16,128,tier1_hospital,0.968,critical,50000
1,clinic_001,5000,tier_2,64,PIPEDA,8,256,tier2_hospital,0.955,high,5000
2,research_center_002,20000,tier_3,128,local,16,1024,research_center,0.982,critical,50000
3,mobile_unit_003,100,tier_1,4,HIPAA,2,32,mobile_unit,0.788,high,2000
4,edge_device_004,500,tier_2,2,local,1,32,edge_device,0.779,standard,500
5,hospital_005,2000,tier_1,128,local,8,128,tier1_hospital,0.987,standard,50000
6,clinic_006,1000,tier_2,64,GDPR,8,128,tier2_hospital,0.966,standard,10000
7,research_center_007,20000,tier_3,256,GDPR,8,512,research_center,0.982,standard,100000
8,mobile_unit_008,1000,tier_1,16,local,1,16,mobile_unit,0.802,standard,5000
9,edge_device_009,50,tier_2,4,HIPAA,0,16,edge_device,0.897,standard,1000
10,hospital_010,5000,tier_1,64,local,8,256,tier1_hospital,0.986,critical,20000
11,clinic_011,2000,tier_2,16,local,8,128,tier2_hospital,0.907,high,5000
12,research_center_012,5000,tier_3,128,HIPAA,32,512,research_center,0.995,standard,50000
13,mobile_unit_013,100,tier_1,8,HIPAA,1,64,mobile_unit,0.89,standard,1000
14,edge_device_014,500,tier_2,8,GDPR,0,8,edge_device,0.849,high,2000
15,hospital_015,10000,tier_1,128,HIPAA,4,256,tier1_hospital,0.993,standard,10000
16,clinic_016,5000,tier_2,64,HIPAA,2,256,tier2_hospital,0.962,standard,20000
17,research_center_017,20000,tier_3,64,GDPR,8,1024,research_center,0.985,high,100000
18,mobile_unit_018,100,tier_1,8,local,2,16,mobile_unit,0.846,critical,5000
19,edge_device_019,50,tier_2,8,local,0,8,edge_device,0.791,standard,1000
