node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,32,GDPR,16,128,tier1_hospital,0.963,critical,50000
1,clinic_001,2000,tier_2,16,local,8,64,tier2_hospital,0.973,critical,10000
2,research_center_002,10000,tier_3,64,PIPEDA,16,512,research_center,0.983,standard,20000
3,mobile_unit_003,1000,tier_1,4,local,2,16,mobile_unit,0.857,critical,1000
4,edge_device_004,500,tier_2,4,local,0,16,edge_device,0.863,high,500
5,hospital_005,2000,tier_1,128,GDPR,16,128,tier1_hospital,0.994,critical,10000
6,clinic_006,5000,tier_2,64,PIPEDA,2,128,tier2_hospital,0.966,critical,20000
7,research_center_007,5000,tier_3,64,local,16,512,research_center,0.99,critical,20000
8,mobile_unit_008,1000,tier_1,4,GDPR,1,64,mobile_unit,0.805,critical,1000
9,edge_device_009,100,tier_2,8,local,0,8,edge_device,0.706,high,1000
