timestamp,round_num,total_clients,sampled_clients,num_sampled_clients,client_sampling_rate,actual_client_rate,data_sampling_rates,total_data_points,sampled_data_points,actual_data_rate
1753354434.772526,1,5,[3],1,0.2,0.2,{3: 1.0},,,
1753354446.80971,2,5,[3],1,0.2,0.2,{3: 1.0},,,
1753354452.7495618,3,5,[1],1,0.2,0.2,{1: 1.0},,,
1753354463.99405,4,5,[4],1,0.2,0.2,{4: 1.0},,,
1753354474.2926126,5,5,[4],1,0.2,0.2,{4: 1.0},,,
1753354478.540794,6,5,[4],1,0.2,0.2,{4: 1.0},,,
1753354482.8739865,7,5,[1],1,0.2,0.2,{1: 1.0},,,
1753354488.5732176,8,5,[3],1,0.2,0.2,{3: 1.0},,,
1753354494.7113793,9,5,[3],1,0.2,0.2,{3: 1.0},,,
1753354500.5185473,10,5,[1],1,0.2,0.2,{1: 1.0},,,
