node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,128,GDPR,16,128,tier1_hospital,0.962,critical,10000
1,clinic_001,2000,tier_2,16,PIPEDA,4,64,tier2_hospital,0.947,high,10000
2,research_center_002,20000,tier_3,128,HIPAA,8,1024,research_center,0.997,standard,100000
3,mobile_unit_003,500,tier_1,8,local,2,32,mobile_unit,0.772,critical,5000
4,edge_device_004,500,tier_2,2,GDPR,1,8,edge_device,0.816,standard,500
5,hospital_005,5000,tier_1,32,PIPEDA,16,256,tier1_hospital,0.963,high,50000
6,clinic_006,1000,tier_2,64,local,2,64,tier2_hospital,0.911,critical,20000
7,research_center_007,20000,tier_3,256,local,16,256,research_center,0.984,high,50000
8,mobile_unit_008,500,tier_1,16,PIPEDA,1,32,mobile_unit,0.864,high,1000
9,edge_device_009,50,tier_2,4,local,1,32,edge_device,0.718,standard,1000
10,hospital_010,2000,tier_1,64,PIPEDA,8,256,tier1_hospital,0.971,high,50000
11,clinic_011,2000,tier_2,64,PIPEDA,8,128,tier2_hospital,0.961,standard,20000
12,research_center_012,20000,tier_3,64,GDPR,32,512,research_center,0.986,critical,20000
13,mobile_unit_013,500,tier_1,8,PIPEDA,1,16,mobile_unit,0.86,high,1000
14,edge_device_014,50,tier_2,4,GDPR,1,32,edge_device,0.894,critical,500
15,hospital_015,2000,tier_1,32,GDPR,8,256,tier1_hospital,0.954,high,20000
16,clinic_016,1000,tier_2,32,PIPEDA,2,128,tier2_hospital,0.978,standard,5000
17,research_center_017,5000,tier_3,128,PIPEDA,16,1024,research_center,0.994,critical,50000
18,mobile_unit_018,500,tier_1,16,local,2,32,mobile_unit,0.838,critical,2000
19,edge_device_019,500,tier_2,8,GDPR,1,16,edge_device,0.898,high,1000
