node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,44.059997,-92.482326,north_america,America/Chicago
1,Baltimore,USA,39.256971,-76.596225,europe,America/New_York
2,Palo Alto,USA,37.430772,-122.110739,asia_pacific,America/Los_Angeles
3,Boston,USA,42.335345,-71.065142,south_america,America/New_York
4,Los Angeles,USA,34.065549,-118.230147,africa,America/Los_Angeles
5,London,UK,51.54503,-0.17627,north_america,Europe/London
6,Paris,France,48.896304,2.330329,europe,Europe/Paris
7,Tokyo,Japan,35.647624,139.684307,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.30863,103.840405,south_america,Asia/Singapore
9,Sydney,Australia,-33.904076,151.206118,africa,Australia/Sydney
10,Rochester,USA,43.976958,-92.464914,north_america,America/Chicago
11,Baltimore,USA,39.316231,-76.621332,europe,America/New_York
12,Palo Alto,USA,37.404906,-122.190636,asia_pacific,America/Los_Angeles
13,Boston,USA,42.400027,-71.08784,south_america,America/New_York
14,Los Angeles,USA,34.025484,-118.257635,africa,America/Los_Angeles
