round_num,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9
1,3.4506266117095947,3.3261985778808594,3.3830039501190186,3.474761486053467,3.4644670486450195,3.3261985778808594,3.401073694229126,3.3891241550445557,3.3261985778808594,3.3261985778808594
2,3.343658208847046,3.444509506225586,3.3616576194763184,3.343658208847046,3.3888697624206543,3.343658208847046,3.393639087677002,3.368410587310791,3.4517440795898438,3.343658208847046
3,3.3522443771362305,3.4050800800323486,3.3640992641448975,3.4062416553497314,3.3703620433807373,3.3522443771362305,3.3820290565490723,3.3522443771362305,3.3830461502075195,3.3522443771362305
4,3.3767149448394775,3.3641586303710938,3.38736629486084,3.358675241470337,3.358675241470337,3.358675241470337,3.3745944499969482,3.366617202758789,3.428215980529785,3.358675241470337
5,3.3916244506835938,3.361463785171509,3.361463785171509,3.3636748790740967,3.401979684829712,3.361463785171509,3.399677038192749,3.4005849361419678,3.4360175132751465,3.361463785171509
6,3.3705923557281494,3.40501070022583,3.3705923557281494,3.4019086360931396,3.4087321758270264,3.4158642292022705,3.4041879177093506,3.3705923557281494,3.3915460109710693,3.3705923557281494
7,3.3672232627868652,3.397305965423584,3.3948559761047363,3.3672232627868652,3.3672232627868652,3.3705568313598633,3.3838071823120117,3.391411304473877,3.4087002277374268,3.3672232627868652
8,3.4036598205566406,3.383591890335083,3.3996548652648926,3.365983009338379,3.3905439376831055,3.365983009338379,3.365983009338379,3.365983009338379,3.4152016639709473,3.4343910217285156
9,3.4018871784210205,3.3705499172210693,3.4069862365722656,3.3705499172210693,3.404303789138794,3.4058969020843506,3.3705499172210693,3.3705499172210693,3.4248921871185303,3.3962199687957764
10,3.3781638145446777,3.4180455207824707,3.4185550212860107,3.387460708618164,3.3781638145446777,3.39902663230896,3.4134111404418945,3.3808605670928955,3.3781638145446777,3.3781638145446777
