node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,44.001741,-92.427737,north_america,America/Chicago
1,Baltimore,USA,39.252283,-76.628026,europe,America/New_York
2,Palo Alto,USA,37.470724,-122.134227,asia_pacific,America/Los_Angeles
3,Boston,USA,42.354129,-71.026777,south_america,America/New_York
4,Los Angeles,USA,34.014804,-118.277885,africa,America/Los_Angeles
5,London,UK,51.535491,-0.119103,north_america,Europe/London
6,Paris,France,48.831718,2.373563,europe,Europe/Paris
7,Tokyo,Japan,35.706876,139.634886,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.375262,103.865435,south_america,Asia/Singapore
9,Sydney,Australia,-33.87752,151.207847,africa,Australia/Sydney
10,Rochester,USA,43.979698,-92.434517,north_america,America/Chicago
11,Baltimore,USA,39.313968,-76.612331,europe,America/New_York
12,Palo Alto,USA,37.395391,-122.144346,asia_pacific,America/Los_Angeles
13,Boston,USA,42.363762,-71.107626,south_america,America/New_York
14,Los Angeles,USA,34.025898,-118.268964,africa,America/Los_Angeles
15,London,UK,51.497174,-0.144038,north_america,Europe/London
16,Paris,France,48.897159,2.362757,europe,Europe/Paris
17,Tokyo,Japan,35.669645,139.629931,asia_pacific,Asia/Tokyo
18,Singapore,Singapore,1.388438,103.792007,south_america,Asia/Singapore
19,Sydney,Australia,-33.886992,151.162519,africa,Australia/Sydney
