round_num,node_0,node_1,node_2,node_3,node_4
1,3.2227017879486084,3.1885032653808594,3.1885032653808594,3.1885032653808594,3.1885032653808594
2,3.189624071121216,3.188495635986328,3.188509941101074,3.205746650695801,3.1885616779327393
3,3.186448335647583,3.1863296031951904,3.186537265777588,3.186875581741333,3.2251060009002686
4,3.188765525817871,3.189638376235962,3.1909921169281006,3.1921677589416504,3.209606647491455
5,3.192228317260742,3.258293628692627,3.194188356399536,3.194838762283325,3.195807933807373
6,3.201878786087036,3.205536365509033,3.197866201400757,3.198474407196045,3.1994411945343018
7,3.199559211730957,3.1979386806488037,3.198232889175415,3.1983232498168945,3.1983542442321777
8,3.208329200744629,3.197807550430298,3.1978182792663574,3.1977672576904297,3.1976563930511475
9,3.198140859603882,3.1945338249206543,3.197760820388794,3.1977572441101074,3.1977648735046387
10,3.1946475505828857,3.1941492557525635,3.1961073875427246,3.2121927738189697,3.195535659790039
