node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,128,PIPEDA,16,128,tier1_hospital,0.964,standard,10000
1,clinic_001,1000,tier_2,32,GDPR,8,128,tier2_hospital,0.922,standard,20000
2,research_center_002,10000,tier_3,64,PIPEDA,32,256,research_center,0.98,critical,20000
3,mobile_unit_003,1000,tier_1,8,GDPR,2,16,mobile_unit,0.773,high,2000
4,edge_device_004,50,tier_2,8,local,1,16,edge_device,0.868,high,1000
5,hospital_005,5000,tier_1,32,GDPR,4,128,tier1_hospital,0.973,high,10000
6,clinic_006,2000,tier_2,64,HIPAA,4,128,tier2_hospital,0.952,standard,10000
7,research_center_007,20000,tier_3,128,PIPEDA,32,256,research_center,0.983,critical,20000
8,mobile_unit_008,1000,tier_1,8,GDPR,2,32,mobile_unit,0.877,standard,1000
9,edge_device_009,50,tier_2,8,PIPEDA,0,8,edge_device,0.702,standard,1000
