edge,weight
0-1,521.66
0-2,428.28
0-3,4311.17
0-4,91.69
0-5,469.82
0-6,1189.03
0-7,113.71
0-8,114.31
0-9,485.21
0-10,889.3
0-11,103.52
0-12,1011.12
0-13,822.15
0-14,555.56
1-2,428.54
1-3,4325.25
1-4,80.88
1-5,1642.58
1-6,5440.79
1-7,897.59
1-8,985.61
1-9,1681.69
1-10,2395.94
1-11,2350.15
1-12,939.62
1-13,4140.06
1-14,5091.56
2-3,5229.07
2-4,442.86
2-5,1805.91
2-6,101.86
2-7,108.18
2-8,89.92
2-9,92.01
2-10,2004.51
2-11,4372.87
2-12,1114.8
2-13,925.84
2-14,4970.41
3-4,1941.29
3-5,1132.46
3-6,4453.02
3-7,944.49
3-8,800.27
3-9,812.87
3-10,105.15
3-11,5306.19
3-12,499.06
3-13,2220.64
3-14,5771.49
4-5,1857.35
4-6,97.54
4-7,503.23
4-8,1702.92
4-9,537.2
4-10,5542.14
4-11,5326.94
4-12,2165.67
4-13,2350.07
4-14,2131.7
5-6,5343.56
5-7,4963.29
5-8,828.51
5-9,928.58
5-10,1805.42
5-11,866.41
5-12,444.53
5-13,4233.87
5-14,450.06
6-7,81.02
6-8,86.94
6-9,5810.86
6-10,100.98
6-11,463.86
6-12,419.46
6-13,2306.35
6-14,5277.49
7-8,4281.68
7-9,1609.99
7-10,102.85
7-11,5705.52
7-12,467.49
7-13,1123.51
7-14,2344.46
8-9,2056.89
8-10,5426.25
8-11,467.11
8-12,1949.08
8-13,871.27
8-14,100.22
9-10,1972.24
9-11,492.68
9-12,5441.15
9-13,554.82
9-14,2075.17
10-11,5543.48
10-12,5598.29
10-13,119.21
10-14,86.24
11-12,1655.39
11-13,2071.18
11-14,2067.89
12-13,2270.18
12-14,119.46
13-14,5502.76
