node_id,admin_level,certification,city,country,department,established_year,funding_source,institution_name,institution_type,region,staff_count,timezone
0,regional,FedRAMP,Rochester,USA,radiology,2012,public,mayo_clinic,tier1_hospital,north_america,750,America/Chicago
1,regional,HIPAA_compliant,Baltimore,USA,oncology,1952,public,johns_hopkins,tier2_hospital,europe,1736,America/New_York
2,local,ISO27001,Palo Alto,USA,cardiology,1983,mixed,stanford_med,research_center,asia_pacific,4830,America/Los_Angeles
3,national,FedRAMP,Boston,USA,neurology,1974,mixed,mass_general,mobile_unit,south_america,2475,America/New_York
4,local,FedRAMP,Los Angeles,USA,pathology,2015,public,ucla_health,edge_device,africa,169,America/Los_Angeles
5,local,SOC2,London,UK,radiology,1992,research_grant,mayo_clinic,tier1_hospital,north_america,1584,Europe/London
6,local,SOC2,Paris,France,oncology,1956,public,johns_hopkins,tier2_hospital,europe,4339,Europe/Paris
7,local,HIPAA_compliant,Tokyo,Japan,cardiology,1976,research_grant,stanford_med,research_center,asia_pacific,903,Asia/Tokyo
8,regional,HIPAA_compliant,Singapore,Singapore,neurology,1953,mixed,mass_general,mobile_unit,south_america,4342,Asia/Singapore
9,regional,HIPAA_compliant,Sydney,Australia,pathology,1959,research_grant,ucla_health,edge_device,africa,489,Australia/Sydney
