edge,weight
0-1,4903.95
0-2,1070.15
0-3,1142.11
0-4,1146.59
0-5,5081.37
0-6,511.17
0-7,86.94
0-8,2281.31
0-9,562.6
1-2,525.78
1-3,108.54
1-4,426.11
1-5,119.92
1-6,1110.16
1-7,5967.74
1-8,557.65
1-9,2065.15
2-3,115.98
2-4,4802.29
2-5,85.06
2-6,1723.12
2-7,1831.21
2-8,4748.16
2-9,99.45
3-4,517.06
3-5,4778.63
3-6,5607.13
3-7,112.2
3-8,971.57
3-9,431.34
4-5,2297.85
4-6,920.76
4-7,101.72
4-8,2236.29
4-9,1741.18
5-6,5490.45
5-7,2192.54
5-8,823.07
5-9,569.48
6-7,5495.01
6-8,566.48
6-9,505.7
7-8,5142.03
7-9,2350.75
8-9,1187.58
