node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,128,local,8,128,tier1_hospital,0.968,standard,50000
1,clinic_001,1000,tier_2,16,local,2,128,tier2_hospital,0.945,high,10000
2,research_center_002,10000,tier_3,256,GDPR,16,512,research_center,0.99,critical,50000
3,mobile_unit_003,1000,tier_1,8,GDPR,1,64,mobile_unit,0.881,standard,5000
4,edge_device_004,100,tier_2,8,PIPEDA,1,8,edge_device,0.763,standard,2000
5,hospital_005,5000,tier_1,32,PIPEDA,4,512,tier1_hospital,0.966,high,20000
6,clinic_006,5000,tier_2,32,PIPEDA,4,128,tier2_hospital,0.926,high,5000
7,research_center_007,5000,tier_3,256,local,16,1024,research_center,0.99,high,20000
8,mobile_unit_008,100,tier_1,16,local,1,64,mobile_unit,0.763,critical,5000
9,edge_device_009,500,tier_2,8,HIPAA,1,16,edge_device,0.717,high,1000
10,hospital_010,10000,tier_1,64,PIPEDA,4,512,tier1_hospital,0.97,critical,20000
11,clinic_011,1000,tier_2,32,GDPR,2,64,tier2_hospital,0.979,critical,20000
12,research_center_012,10000,tier_3,256,GDPR,32,512,research_center,0.995,standard,20000
13,mobile_unit_013,100,tier_1,4,PIPEDA,1,32,mobile_unit,0.809,critical,1000
14,edge_device_014,100,tier_2,4,PIPEDA,0,32,edge_device,0.766,high,1000
