node_id,latitude,longitude
0,44.021692,-92.465776
1,39.298868,-76.637373
2,37.455341,-122.16051
3,42.353696,-71.08604
4,34.03123,-118.202015
5,51.487607,-0.148304
6,48.839546,2.312553
7,35.683762,139.661129
8,1.346705,103.840296
9,-33.886624,151.240558
10,43.998671,-92.508449
11,39.259103,-76.621014
12,37.441564,-122.14028
13,42.356805,-71.108249
14,34.100849,-118.26427
15,51.487906,-0.111433
16,48.853302,2.33455
17,35.628583,139.64611
18,1.316519,103.828337
19,-33.910566,151.218485
