edge,weight
0-1,595.81
0-2,84.53
0-3,112.52
0-4,924.14
0-5,113.54
0-6,467.77
0-7,1032.42
0-8,98.21
0-9,2154.93
1-2,4194.28
1-3,114.71
1-4,2038.02
1-5,476.17
1-6,1118.18
1-7,2254.96
1-8,4055.58
1-9,1130.56
2-3,1097.45
2-4,584.96
2-5,5482.86
2-6,80.93
2-7,1853.96
2-8,2162.55
2-9,1107.65
3-4,848.52
3-5,1688.22
3-6,1691.48
3-7,1115.23
3-8,4451.21
3-9,4082.31
4-5,451.32
4-6,5207.28
4-7,1192.87
4-8,4537.8
4-9,524.59
5-6,1127.0
5-7,102.33
5-8,89.02
5-9,103.39
6-7,4543.52
6-8,2299.69
6-9,90.61
7-8,489.2
7-9,88.52
8-9,969.7
