edge,weight
0-1,1695.4
0-2,449.7
0-3,1732.83
0-4,551.75
0-5,1109.87
0-6,2105.29
0-7,5681.11
0-8,101.58
0-9,4777.27
1-2,4503.46
1-3,1076.72
1-4,480.1
1-5,1876.13
1-6,92.5
1-7,106.24
1-8,460.79
1-9,825.44
2-3,1157.67
2-4,104.47
2-5,80.53
2-6,1168.04
2-7,1771.69
2-8,94.37
2-9,1843.15
3-4,114.06
3-5,576.29
3-6,5168.9
3-7,411.08
3-8,4354.03
3-9,4297.65
4-5,4706.69
4-6,430.4
4-7,94.18
4-8,546.01
4-9,812.62
5-6,2011.4
5-7,461.7
5-8,1160.76
5-9,103.75
6-7,516.27
6-8,2312.71
6-9,478.54
7-8,2164.88
7-9,535.18
8-9,2207.21
