edge,weight
0-1,513.06
0-2,87.27
0-3,86.43
0-4,2130.22
0-5,2268.75
0-6,493.34
0-7,442.67
0-8,118.68
0-9,1830.04
0-10,2207.1
0-11,2010.8
0-12,5493.74
0-13,1894.04
0-14,500.62
1-2,109.04
1-3,4963.52
1-4,82.19
1-5,483.27
1-6,523.74
1-7,1750.51
1-8,2200.29
1-9,4689.9
1-10,855.32
1-11,2241.33
1-12,853.08
1-13,1182.27
1-14,5726.45
2-3,1673.7
2-4,538.88
2-5,1064.15
2-6,498.61
2-7,407.86
2-8,1177.64
2-9,97.59
2-10,530.72
2-11,435.03
2-12,561.39
2-13,489.7
2-14,4864.53
3-4,2121.47
3-5,1672.58
3-6,425.5
3-7,109.32
3-8,4786.64
3-9,102.26
3-10,1191.55
3-11,2358.02
3-12,98.25
3-13,93.05
3-14,2268.16
4-5,1726.66
4-6,556.97
4-7,2290.89
4-8,4348.29
4-9,82.57
4-10,2113.61
4-11,5580.87
4-12,1708.95
4-13,1113.44
4-14,1100.64
5-6,443.1
5-7,934.84
5-8,474.4
5-9,973.45
5-10,80.82
5-11,940.57
5-12,4508.44
5-13,548.61
5-14,96.43
6-7,457.45
6-8,2299.37
6-9,817.16
6-10,89.93
6-11,4901.58
6-12,2136.65
6-13,2345.39
6-14,81.67
7-8,506.48
7-9,113.61
7-10,836.05
7-11,2036.22
7-12,902.03
7-13,4253.36
7-14,562.52
8-9,2170.24
8-10,567.01
8-11,902.06
8-12,1974.23
8-13,1105.77
8-14,1890.1
9-10,86.78
9-11,5669.13
9-12,4306.44
9-13,2101.53
9-14,92.54
10-11,1935.91
10-12,948.77
10-13,111.42
10-14,553.62
11-12,4318.1
11-13,1914.73
11-14,546.7
12-13,91.48
12-14,1069.02
13-14,119.16
