node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,64,HIPAA,8,128,tier1_hospital,0.961,critical,10000
1,clinic_001,5000,tier_2,64,GDPR,8,256,tier2_hospital,0.91,high,20000
2,research_center_002,5000,tier_3,256,GDPR,16,1024,research_center,0.999,standard,20000
3,mobile_unit_003,1000,tier_1,8,GDPR,2,16,mobile_unit,0.891,high,2000
4,edge_device_004,100,tier_2,4,local,1,8,edge_device,0.77,high,500
5,hospital_005,5000,tier_1,128,HIPAA,16,512,tier1_hospital,0.956,critical,20000
6,clinic_006,5000,tier_2,32,HIPAA,2,64,tier2_hospital,0.922,critical,20000
7,research_center_007,20000,tier_3,64,local,32,512,research_center,0.991,standard,20000
8,mobile_unit_008,100,tier_1,16,PIPEDA,1,32,mobile_unit,0.796,high,5000
9,edge_device_009,100,tier_2,4,GDPR,0,16,edge_device,0.761,high,1000
