node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,32,HIPAA,8,512,tier1_hospital,0.983,critical,50000
1,clinic_001,1000,tier_2,64,local,8,128,tier2_hospital,0.903,critical,20000
2,research_center_002,20000,tier_3,64,GDPR,32,256,research_center,0.994,critical,100000
3,mobile_unit_003,500,tier_1,8,local,2,64,mobile_unit,0.8,standard,5000
4,edge_device_004,500,tier_2,4,PIPEDA,1,16,edge_device,0.772,standard,2000
5,hospital_005,10000,tier_1,64,local,16,512,tier1_hospital,0.953,critical,50000
6,clinic_006,2000,tier_2,64,PIPEDA,4,256,tier2_hospital,0.926,critical,20000
7,research_center_007,5000,tier_3,128,HIPAA,16,256,research_center,0.991,critical,100000
8,mobile_unit_008,1000,tier_1,16,PIPEDA,2,16,mobile_unit,0.809,standard,2000
9,edge_device_009,500,tier_2,4,GDPR,1,16,edge_device,0.799,high,2000
10,hospital_010,2000,tier_1,64,HIPAA,4,256,tier1_hospital,0.974,critical,10000
11,clinic_011,2000,tier_2,32,GDPR,2,128,tier2_hospital,0.941,high,10000
12,research_center_012,20000,tier_3,256,GDPR,16,1024,research_center,0.989,high,20000
13,mobile_unit_013,500,tier_1,4,HIPAA,1,16,mobile_unit,0.774,high,5000
14,edge_device_014,500,tier_2,2,PIPEDA,0,8,edge_device,0.808,standard,2000
15,hospital_015,5000,tier_1,64,GDPR,8,512,tier1_hospital,0.979,high,10000
16,clinic_016,1000,tier_2,32,PIPEDA,4,64,tier2_hospital,0.913,standard,20000
17,research_center_017,10000,tier_3,64,HIPAA,8,1024,research_center,0.981,critical,20000
18,mobile_unit_018,100,tier_1,16,GDPR,1,32,mobile_unit,0.842,high,2000
19,edge_device_019,50,tier_2,8,PIPEDA,0,16,edge_device,0.796,standard,1000
