node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,64,local,16,256,tier1_hospital,0.969,high,10000
1,clinic_001,2000,tier_2,32,GDPR,2,256,tier2_hospital,0.973,standard,20000
2,research_center_002,10000,tier_3,256,local,8,256,research_center,0.998,standard,20000
3,mobile_unit_003,100,tier_1,16,GDPR,2,32,mobile_unit,0.893,standard,5000
4,edge_device_004,100,tier_2,2,HIPAA,1,16,edge_device,0.745,critical,1000
5,hospital_005,5000,tier_1,128,GDPR,8,128,tier1_hospital,0.968,high,20000
6,clinic_006,1000,tier_2,64,local,2,256,tier2_hospital,0.977,standard,5000
7,research_center_007,5000,tier_3,128,local,8,1024,research_center,0.995,standard,50000
8,mobile_unit_008,100,tier_1,16,PIPEDA,1,16,mobile_unit,0.852,critical,2000
9,edge_device_009,50,tier_2,2,HIPAA,0,8,edge_device,0.706,standard,2000
