round_num,node_0,node_1,node_2,node_3,node_4
1,3.536870002746582,3.3691136837005615,3.465134620666504,3.4778292179107666,3.3691136837005615
2,3.5346903800964355,3.4351673126220703,3.4801108837127686,3.4351673126220703,3.4985105991363525
3,3.5504579544067383,3.545266628265381,3.504676580429077,3.4707252979278564,3.4707252979278564
4,3.5081050395965576,3.5537872314453125,3.5314621925354004,3.5081050395965576,3.545097589492798
5,3.524148941040039,3.524148941040039,3.5440893173217773,3.5639488697052,3.559413194656372
6,3.5393149852752686,3.576972246170044,3.5393149852752686,3.565976619720459,3.569953680038452
7,3.6160335540771484,3.5560131072998047,3.5560131072998047,3.57930064201355,3.5853335857391357
8,3.6391191482543945,3.619361162185669,3.5802152156829834,3.6080081462860107,3.5802152156829834
9,3.6544196605682373,3.6479105949401855,3.608795166015625,3.608795166015625,3.6318607330322266
10,3.669647216796875,3.631355047225952,3.6489250659942627,3.6517770290374756,3.631355047225952
