edge,weight
0-1,104.64
0-2,953.39
0-3,1897.42
0-4,89.67
0-5,477.02
0-6,4930.39
0-7,981.16
0-8,1140.57
0-9,432.2
0-10,836.25
0-11,1724.63
0-12,1970.63
0-13,996.69
0-14,522.25
1-2,2209.1
1-3,107.28
1-4,950.86
1-5,2359.17
1-6,917.03
1-7,4506.04
1-8,2219.58
1-9,114.08
1-10,92.65
1-11,1828.39
1-12,4221.05
1-13,1011.19
1-14,5959.86
2-3,85.19
2-4,837.59
2-5,448.61
2-6,2300.92
2-7,1148.25
2-8,467.51
2-9,1057.03
2-10,541.27
2-11,415.54
2-12,445.8
2-13,847.7
2-14,4267.63
3-4,555.49
3-5,493.87
3-6,84.33
3-7,109.79
3-8,4265.39
3-9,451.08
3-10,115.77
3-11,5469.73
3-12,86.17
3-13,1974.05
3-14,117.19
4-5,114.56
4-6,2226.61
4-7,1622.57
4-8,1083.36
4-9,1137.14
4-10,1045.77
4-11,1052.67
4-12,82.36
4-13,511.23
4-14,1119.44
5-6,5752.24
5-7,879.32
5-8,1840.06
5-9,81.01
5-10,4084.16
5-11,506.35
5-12,583.0
5-13,1129.13
5-14,498.96
6-7,88.86
6-8,2201.24
6-9,4198.85
6-10,1976.05
6-11,1016.9
6-12,1763.79
6-13,838.33
6-14,1179.71
7-8,537.1
7-9,5508.41
7-10,1989.3
7-11,100.34
7-12,90.62
7-13,2074.92
7-14,819.3
8-9,99.0
8-10,990.47
8-11,111.23
8-12,84.19
8-13,571.22
8-14,5073.55
9-10,5987.38
9-11,82.6
9-12,1054.86
9-13,444.55
9-14,1048.68
10-11,882.77
10-12,1698.84
10-13,423.57
10-14,520.81
11-12,1086.08
11-13,564.46
11-14,4306.72
12-13,91.97
12-14,479.76
13-14,906.53
