edge,weight
0-1,459.89
0-2,100.08
0-3,1109.33
0-4,114.43
0-5,820.03
0-6,1831.66
0-7,4491.32
0-8,1108.63
0-9,113.04
1-2,1719.24
1-3,900.82
1-4,1629.04
1-5,514.41
1-6,4887.64
1-7,2066.05
1-8,4408.83
1-9,563.89
2-3,989.79
2-4,4326.57
2-5,5149.77
2-6,4998.28
2-7,106.99
2-8,103.53
2-9,2080.65
3-4,4279.81
3-5,118.61
3-6,1746.72
3-7,109.27
3-8,5658.79
3-9,881.51
4-5,5580.04
4-6,1141.82
4-7,985.09
4-8,1680.27
4-9,886.02
5-6,1636.64
5-7,450.49
5-8,2306.89
5-9,2110.32
6-7,1005.39
6-8,100.17
6-9,92.74
7-8,1920.43
7-9,1066.4
8-9,545.76
