edge,weight
0-1,1905.92
0-2,536.53
0-3,5523.52
0-4,99.66
0-5,1097.8
0-6,97.07
0-7,576.17
0-8,1758.74
0-9,4917.11
1-2,1011.62
1-3,595.43
1-4,4146.22
1-5,1099.89
1-6,803.26
1-7,402.6
1-8,980.94
1-9,2379.11
2-3,959.26
2-4,2024.81
2-5,531.49
2-6,109.99
2-7,1631.87
2-8,1810.07
2-9,5310.46
3-4,86.32
3-5,2041.53
3-6,806.87
3-7,1826.08
3-8,1189.97
3-9,88.12
4-5,1879.91
4-6,5334.84
4-7,111.29
4-8,90.82
4-9,582.52
5-6,4307.97
5-7,949.71
5-8,4822.16
5-9,1693.99
6-7,110.71
6-8,558.79
6-9,1026.98
7-8,953.5
7-9,1148.06
8-9,499.27
