node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,128,PIPEDA,8,128,tier1_hospital,0.964,high,10000
1,clinic_001,1000,tier_2,16,GDPR,2,256,tier2_hospital,0.921,high,10000
2,research_center_002,10000,tier_3,128,local,16,1024,research_center,0.996,standard,50000
3,mobile_unit_003,100,tier_1,4,HIPAA,1,64,mobile_unit,0.75,standard,5000
4,edge_device_004,50,tier_2,2,HIPAA,0,16,edge_device,0.786,standard,1000
5,hospital_005,5000,tier_1,32,PIPEDA,16,128,tier1_hospital,0.968,critical,10000
6,clinic_006,1000,tier_2,16,PIPEDA,8,256,tier2_hospital,0.904,high,5000
7,research_center_007,10000,tier_3,256,PIPEDA,16,1024,research_center,0.997,standard,100000
8,mobile_unit_008,1000,tier_1,4,PIPEDA,2,64,mobile_unit,0.846,high,2000
9,edge_device_009,50,tier_2,8,local,0,32,edge_device,0.824,critical,500
