node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,44.000626,-92.443332,north_america,America/Chicago
1,Baltimore,USA,39.255168,-76.608734,europe,America/New_York
2,Palo Alto,USA,37.465416,-122.17464,asia_pacific,America/Los_Angeles
3,Boston,USA,42.359727,-71.060304,south_america,America/New_York
4,Los Angeles,USA,34.072143,-118.220986,africa,America/Los_Angeles
5,London,UK,51.488888,-0.131759,north_america,Europe/London
6,Paris,France,48.842832,2.377951,europe,Europe/Paris
7,Tokyo,Japan,35.636461,139.601066,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.362016,103.816005,south_america,Asia/Singapore
9,Sydney,Australia,-33.917271,151.175447,africa,Australia/Sydney
