node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,international,ISO27001,radiology,1952,mixed,mayo_clinic,tier1_hospital,4825
1,regional,SOC2,oncology,1981,research_grant,johns_hopkins,tier2_hospital,80
2,regional,HIPAA_compliant,cardiology,1972,private,stanford_med,research_center,4704
3,international,HIPAA_compliant,neurology,1959,research_grant,mass_general,mobile_unit,3743
4,regional,ISO27001,pathology,1999,research_grant,ucla_health,edge_device,3895
5,local,SOC2,radiology,2008,research_grant,mayo_clinic,tier1_hospital,2941
6,regional,FedRAMP,oncology,1959,mixed,johns_hopkins,tier2_hospital,4187
7,national,FedRAMP,cardiology,2012,research_grant,stanford_med,research_center,2638
8,national,ISO27001,neurology,1955,research_grant,mass_general,mobile_unit,1606
9,local,FedRAMP,pathology,1972,private,ucla_health,edge_device,803
