node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,32,PIPEDA,8,256,tier1_hospital,0.999,critical,20000
1,clinic_001,5000,tier_2,32,GDPR,2,64,tier2_hospital,0.977,high,5000
2,research_center_002,10000,tier_3,256,PIPEDA,8,512,research_center,0.999,standard,50000
3,mobile_unit_003,1000,tier_1,8,HIPAA,1,64,mobile_unit,0.789,high,1000
4,edge_device_004,50,tier_2,8,PIPEDA,1,8,edge_device,0.89,standard,2000
5,hospital_005,10000,tier_1,128,GDPR,16,128,tier1_hospital,0.958,high,10000
6,clinic_006,5000,tier_2,64,PIPEDA,2,128,tier2_hospital,0.931,standard,20000
7,research_center_007,20000,tier_3,256,PIPEDA,8,512,research_center,0.988,high,20000
8,mobile_unit_008,100,tier_1,16,local,1,64,mobile_unit,0.866,high,5000
9,edge_device_009,100,tier_2,2,HIPAA,1,16,edge_device,0.779,high,2000
