node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,32,HIPAA,8,512,tier1_hospital,0.956,high,50000
1,clinic_001,2000,tier_2,16,local,8,64,tier2_hospital,0.944,standard,10000
2,research_center_002,20000,tier_3,128,GDPR,8,1024,research_center,0.996,standard,100000
3,mobile_unit_003,100,tier_1,16,GDPR,2,32,mobile_unit,0.753,standard,2000
4,edge_device_004,50,tier_2,8,HIPAA,0,8,edge_device,0.878,high,500
5,hospital_005,2000,tier_1,128,GDPR,16,512,tier1_hospital,0.975,critical,10000
6,clinic_006,1000,tier_2,64,GDPR,4,256,tier2_hospital,0.938,critical,5000
7,research_center_007,5000,tier_3,64,GDPR,16,512,research_center,0.994,high,100000
8,mobile_unit_008,500,tier_1,8,GDPR,1,16,mobile_unit,0.856,high,1000
9,edge_device_009,100,tier_2,2,GDPR,0,8,edge_device,0.774,standard,2000
10,hospital_010,2000,tier_1,128,GDPR,8,512,tier1_hospital,0.989,high,50000
11,clinic_011,5000,tier_2,16,HIPAA,8,128,tier2_hospital,0.974,critical,5000
12,research_center_012,20000,tier_3,256,PIPEDA,8,1024,research_center,0.996,high,50000
13,mobile_unit_013,1000,tier_1,16,HIPAA,2,16,mobile_unit,0.854,high,5000
14,edge_device_014,50,tier_2,4,GDPR,1,8,edge_device,0.862,critical,2000
